Month,Date,AWND,PRCP,SNOW,TAVG
8,1,14.76,0.0,0.0,22.8
8,2,7.56,0.0,0.0,22.2
8,3,10.80,0.0,0.0,23.3
8,4,12.96,0.0,0.0,24.4
8,5,14.76,9.9,0.0,23.9
8,6,9.37,0.0,0.0,24.4
8,7,17.64,22.1,0.0,22.8
8,8,11.15,31.0,0.0,22.8
8,9,10.07,0.0,0.0,23.9
8,10,11.15,0.0,0.0,26.1
8,11,16.91,0.0,0.0,25.6
8,12,16.91,0.3,0.0,23.9
8,13,14.40,0.0,0.0,21.7
8,14,9.00,0.0,0.0,21.7
8,15,15.13,0.0,0.0,24.4
8,16,16.56,0.0,0.0,23.3
8,17,16.91,0.0,0.0,24.4
8,18,13.68,0.0,0.0,26.1
8,19,13.68,0.0,0.0,26.7
8,20,19.44,2.5,0.0,27.2
8,21,17.28,0.0,0.0,22.8
8,22,12.96,1.0,0.0,19.4
8,23,7.92,0.0,0.0,23.3
8,24,14.03,32.3,0.0,23.9
8,25,10.44,0.0,0.0,24.4
8,26,15.48,40.4,0.0,20.6
8,27,13.33,14.7,0.0,21.1
8,28,16.21,16.5,0.0,23.9
8,29,16.56,4.1,0.0,22.8
8,30,7.92,0.0,0.0,22.8
8,31,10.80,0.0,0.0,22.2
9,1,12.25,0.0,0.0,21.1
9,2,15.84,3.6,0.0,18.9
9,3,15.84,20.8,0.0,16.7
9,4,14.40,0.0,0.0,19.4
9,5,10.44,0.0,0.0,20.0
9,6,11.52,0.0,0.0,19.4
9,7,18.72,0.0,0.0,22.8
9,8,18.36,0.0,0.0,19.4
9,9,5.76,0.0,0.0,18.3
9,10,11.88,0.0,0.0,20.6
9,11,12.25,0.0,0.0,22.8
9,12,10.07,0.0,0.0,18.3
9,13,14.03,3.6,0.0,17.8
9,14,16.91,0.0,0.0,18.9
9,15,12.25,0.0,0.0,17.8
9,16,26.63,0.0,0.0,23.3
9,17,14.03,6.1,0.0,21.7
9,18,12.60,0.0,0.0,16.7
9,19,21.24,0.0,0.0,23.9
9,20,21.60,2.5,0.0,23.3
9,21,15.84,0.0,0.0,15.6
9,22,1.80,0.0,0.0,14.4
9,23,6.84,0.0,0.0,16.1
9,24,12.25,1.0,0.0,14.4
9,25,9.00,0.0,0.0,12.2
9,26,5.41,0.0,0.0,17.2
9,27,9.00,0.0,0.0,19.4
9,28,13.68,0.0,0.0,19.4
9,29,13.33,0.0,0.0,20.6
9,30,9.37,0.0,0.0,22.8
10,1,9.00,0.3,0.0,22.2
10,2,9.72,6.6,0.0,20.6
10,3,11.15,0.0,0.0,18.3
10,4,4.68,0.0,0.0,16.1
10,5,7.56,0.0,0.0,17.8
10,6,9.37,0.0,0.0,17.8
10,7,11.88,0.0,0.0,18.9
10,8,9.37,0.0,0.0,18.9
10,9,18.36,0.0,0.0,20.0
10,10,19.44,0.0,0.0,20.0
10,11,9.00,0.0,0.0,14.4
10,12,9.00,0.0,0.0,15.6
10,13,23.05,0.3,0.0,15.0
10,14,19.44,0.0,0.0,11.7
10,15,14.03,0.3,0.0,8.9
10,16,11.88,0.0,0.0,9.4
10,17,5.41,0.0,0.0,11.1
10,18,12.96,0.0,0.0,15.0
10,19,7.56,0.0,0.0,16.7
10,20,15.13,17.3,0.0,13.9
10,21,17.64,1.3,0.0,8.9
10,22,5.04,0.0,0.0,5.0
10,23,5.41,0.0,0.0,5.0
10,24,16.91,0.0,0.0,6.7
10,25,13.33,0.0,0.0,6.7
10,26,23.40,0.0,0.0,7.8
10,27,23.05,8.1,0.0,10.0
10,28,14.03,13.7,0.0,8.9
10,29,15.48,0.0,0.0,10.0
10,30,9.72,0.0,0.0,7.2
10,31,19.79,0.0,0.0,7.2
11,1,15.84,0.0,0.0,3.3
11,2,12.25,0.0,0.0,3.3
11,3,6.49,0.0,0.0,3.3
11,4,9.72,0.0,0.0,3.9
11,5,23.40,0.0,0.0,8.3
11,6,10.44,0.0,0.0,12.8
11,7,10.44,0.0,0.0,11.1
11,8,10.80,0.0,0.0,10.6
11,9,3.60,0.0,0.0,7.2
11,10,16.56,6.9,0.0,6.7
11,11,22.32,10.4,0.0,5.6
11,12,21.24,1.5,0.0,2.2
11,13,15.13,2.0,30.5,0.6
11,14,19.79,0.0,0.0,-0.6
11,15,11.52,0.0,0.0,-0.6
11,16,20.17,0.0,0.0,1.1
