Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","10","Australia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","5","","Official data"
"TCL","Crops and livestock products","11","Austria","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","113","","Official data"
"TCL","Crops and livestock products","52","Azerbaijan","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","13","Bahrain","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","7","","Official data"
"TCL","Crops and livestock products","16","Bangladesh","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","255","Belgium","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","189197","","Official data"
"TCL","Crops and livestock products","23","Belize","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","257","","Official data"
"TCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","232","","Official data"
"TCL","Crops and livestock products","80","Bosnia and Herzegovina","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","23","","Official data"
"TCL","Crops and livestock products","21","Brazil","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","616","","Official data"
"TCL","Crops and livestock products","26","Brunei Darussalam","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","27","Bulgaria","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","13","","Official data"
"TCL","Crops and livestock products","32","Cameroon","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","218792","","Official data"
"TCL","Crops and livestock products","33","Canada","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","8976","Im","FAO data based on imputation methodology"
"TCL","Crops and livestock products","351","China","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TCL","Crops and livestock products","96","China, Hong Kong SAR","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","41","China, mainland","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","28","","Official data"
"TCL","Crops and livestock products","214","China, Taiwan Province of","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","44","Colombia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","7056","","Official data"
"TCL","Crops and livestock products","46","Congo","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1508","","Official data"
"TCL","Crops and livestock products","48","Costa Rica","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","366","","Official data"
"TCL","Crops and livestock products","107","Côte d'Ivoire","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1525594","","Official data"
"TCL","Crops and livestock products","98","Croatia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","49","Cuba","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","1484","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","167","Czechia","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","3","","Official data"
"TCL","Crops and livestock products","250","Democratic Republic of the Congo","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","8640","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","54","Denmark","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","9","","Official data"
"TCL","Crops and livestock products","55","Dominica","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","57","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","56","Dominican Republic","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","73890","","Official data"
"TCL","Crops and livestock products","58","Ecuador","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","294063","","Official data"
"TCL","Crops and livestock products","60","El Salvador","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","8","","Official data"
"TCL","Crops and livestock products","61","Equatorial Guinea","5910","Export Quantity","661","Cocoa, beans","2018","2018","tonnes","960","*","Unofficial figure"
