Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,2,Afghanistan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,3,Albania,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,13,,Official data
TCL,Crops and livestock products,4,Algeria,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,511,R,Estimated data using trading partners database
TCL,Crops and livestock products,7,Angola,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,8,Antigua and Barbuda,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,,Official data
TCL,Crops and livestock products,9,Argentina,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,10303,,Official data
TCL,Crops and livestock products,1,Armenia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4056,,Official data
TCL,Crops and livestock products,10,Australia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,44700,,Official data
TCL,Crops and livestock products,10,Australia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,5,,Official data
TCL,Crops and livestock products,11,Austria,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,101610,,Official data
TCL,Crops and livestock products,11,Austria,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,113,,Official data
TCL,Crops and livestock products,52,Azerbaijan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1726,,Official data
TCL,Crops and livestock products,52,Azerbaijan,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,12,Bahamas,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,R,Estimated data using trading partners database
TCL,Crops and livestock products,13,Bahrain,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,456,,Official data
TCL,Crops and livestock products,13,Bahrain,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,7,,Official data
TCL,Crops and livestock products,16,Bangladesh,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2692,R,Estimated data using trading partners database
TCL,Crops and livestock products,16,Bangladesh,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,14,Barbados,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,55,,Official data
TCL,Crops and livestock products,57,Belarus,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,23691,,Official data
TCL,Crops and livestock products,255,Belgium,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,649102,,Official data
TCL,Crops and livestock products,255,Belgium,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,189197,,Official data
TCL,Crops and livestock products,23,Belize,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,23,Belize,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,257,,Official data
TCL,Crops and livestock products,53,Benin,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,,Official data
TCL,Crops and livestock products,19,Bolivia (Plurinational State of),5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,203,,Official data
TCL,Crops and livestock products,19,Bolivia (Plurinational State of),5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,232,,Official data
TCL,Crops and livestock products,80,Bosnia and Herzegovina,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4506,,Official data
TCL,Crops and livestock products,80,Bosnia and Herzegovina,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,23,,Official data
TCL,Crops and livestock products,20,Botswana,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3,,Official data
TCL,Crops and livestock products,21,Brazil,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,28886,,Official data
TCL,Crops and livestock products,21,Brazil,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,616,,Official data
TCL,Crops and livestock products,26,Brunei Darussalam,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,16,,Official data
TCL,Crops and livestock products,26,Brunei Darussalam,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,27,Bulgaria,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,38420,,Official data
TCL,Crops and livestock products,27,Bulgaria,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,13,,Official data
TCL,Crops and livestock products,233,Burkina Faso,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,115,Cambodia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,32,Cameroon,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3469,,Official data
TCL,Crops and livestock products,32,Cameroon,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,218792,,Official data
TCL,Crops and livestock products,33,Canada,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,367711,,Official data
TCL,Crops and livestock products,33,Canada,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,8976,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,40,Chile,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,6524,,Official data
TCL,Crops and livestock products,351,China,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,81762,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TCL,Crops and livestock products,351,China,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,28,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TCL,Crops and livestock products,96,"China, Hong Kong SAR",5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,17811,,Official data
TCL,Crops and livestock products,96,"China, Hong Kong SAR",5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,128,"China, Macao SAR",5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,20,R,Estimated data using trading partners database
