Name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1910,2138093,64356,204354,1574449,2377549,799024,1114756,202322,331069,752619,2609121,191909,325594,5638591,2700876,2224771,1690949,2289905,1656388,742371,1295346,3366416,2075708,1797114,3293335,376053,1192214,81875,430572,2537167,327301,9113614,2206287,577056,4767121,1657155,672765,1118012,542610,1515400,583888,2184789,3896542,373351,2061612,1141990,1221119,2333860,145965
1920,2348174,55036,334162,1752204,3426861,939629,1380631,223003,437571,968470,2895832,255912,431866,6485280,2930390,2404021,1769257,2416630,1798509,768014,1449661,3852356,2387125,1790618,3404055,548889,1296372,77407,443083,3155900,360350,10385227,2559123,646872,5759394,2028283,783389,1299809,604397,1683724,636547,2337885,4663228,449396,2309187,1356621,1463701,2632067,194402
1930,2646248,59278,435573,1854482,5677251,1035791,1606903,238380,486869,1468211,2908506,368336,445032,7630654,3238503,2470939,1880999,2614589,2101593,797423,1631526,4249614,2563953,2009821,3629367,537606,1377963,91058,465293,4041334,423317,12588066,3170276,680845,6646697,2396040,953786,1543913,687497,1738765,692849,2616556,5824715,507847,2421851,1563396,1729205,2939006,225565
1940,2832961,72524,499261,1949387,6907387,1123296,1709242,266505,663091,1897414,3123723,423330,524873,7897241,3427796,2538268,1801028,2845627,2363880,847226,1821244,4316721,2792300,2183796,3784664,559456,1315834,110247,491524,4160165,531818,13479142,3571623,641935,6907612,2336434,1089684,1869255,713346,1899804,642961,2915841,6414824,550310,2677773,1736191,1901974,3137587,250742
1950,3061743,128643,749587,1909511,10586223,1325089,2007280,318085,802178,2771305,3444578,499794,588637,8712176,3934224,2621073,1905299,2944806,2683516,913774,2343001,4690514,2982483,2178914,3954653,591024,1325510,160083,533242,4835329,681187,14830192,4061929,619636,7946627,2233351,1521341,2210703,791896,2117027,652740,3291718,7711194,688862,3318680,2378963,2005552,3434575,290529
1960,3266740,226167,1302161,1786272,15717204,1753947,2535234,446292,763956,4951560,3943116,632772,667191,10081158,4662498,2757537,2178611,3038156,3257022,969265,3100689,5148578,3413864,2178141,4319813,674767,1411330,285278,606921,6066782,951023,16782304,4556155,632446,9706397,2328284,1768687,2349544,859488,2382594,680514,3567089,9579677,890627,3966949,2853214,1860421,3951777,330066
1970,3444165,300382,1770900,1923295,19953134,2207259,3031709,548104,756510,6789443,4589575,768561,712567,11113976,5193669,2824376,2246578,3218706,3641306,992048,3922399,5689170,3804971,2216912,4676501,694409,1483493,488738,737681,7168164,1016000,18236967,5082059,617761,10652017,2559229,2091385,2712033,946725,2590516,665507,3923687,11196730,1059273,4648494,3409169,1744237,4417731,332416
1980,3893888,401851,2718215,2286435,23667902,2889964,3107576,594338,638333,9746324,5463105,964691,943935,11426518,5490224,2913808,2363679,3660777,4205900,1124660,4216975,5737037,4075970,2520638,4916686,786690,1569825,800493,920610,7364823,1302894,17558072,5881766,652717,10797630,3025290,2633105,3196520,947154,3121820,690768,4591120,14229191,1461037,5346818,4132156,1949644,4705767,469557
1990,4040587,550043,3665228,2350725,29760021,3294394,3287116,666168,606900,12937926,6478216,1108229,1006749,11430602,5544159,2776755,2477574,3685296,4219973,1227928,4781468,6016425,4375099,2573216,5117073,799065,1578385,1201833,1109252,7730188,1515069,17990455,6628637,638800,10847115,3145585,2842321,3522037,1003464,3486703,696004,4877185,16986510,1722850,6187358,4866692,1793477,4891769,453588
2000,4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,572059,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,3808610,1048319,4012012,754844,5689283,20851820,2233169,7078515,5894121,1808344,5363675,493782
2010,4779736,710231,6392017,2915918,37253956,5029196,3574097,897934,601723,18801310,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,5773552,6547629,5303925,2967297,5988927,989415,1826341,2700551,1316470,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,3725789,1052567,4625364,814180,6346105,25145561,2763885,8001024,6724540,1852994,5686986,563626
2020,5024279,733391,7151502,3011524,39538223,5773714,3605944,989948,689545,21538187,10711908,1455271,1839106,12812508,6785528,3190369,2937880,4505836,4657757,1362359,6177224,7029917,5706494,2961279,6154913,1084225,1961504,3104614,1377529,9288994,2117522,20201249,10439388,779094,11799448,3959353,4237256,3285874,1097379,5118425,886667,6910840,29145505,3271616,8631393,7705281,1793716,5893718,576851
