Team,Date,Result,Home or Away,Opponent,Team Score,Opponent Score
Green Bay Packers,12-Sep,L,@,New Orleans Saints,3,38
Green Bay Packers,20-Sep,W,,Detroit Lions,35,17
Green Bay Packers,26-Sep,W,@,San Francisco 49ers,30,28
Green Bay Packers,3-Oct,W,,Pittsburgh Steelers,27,17
Green Bay Packers,10-Oct,W,@,Cincinnati Bengals,25,22
Green Bay Packers,17-Oct,W,@,Chicago Bears,24,14
Green Bay Packers,24-Oct,W,,Washington Football Team,24,10
Green Bay Packers,28-Oct,W,@,Arizona Cardinals,24,21
Green Bay Packers,7-Nov,L,@,Kansas City Chiefs,7,13
Green Bay Packers,14-Nov,W,,Seattle Seahawks,17,0
Green Bay Packers,21-Nov,L,@,Minnesota Vikings,31,34
Green Bay Packers,28-Nov,W,,Los Angeles Rams,36,28
Green Bay Packers,12-Dec,W,,Chicago Bears,45,30
Green Bay Packers,19-Dec,W,@,Baltimore Ravens,31,30
Green Bay Packers,25-Dec,W,,Cleveland Browns,24,22
Green Bay Packers,2-Jan,W,,Minnesota Vikings,37,10
Detroit Lions,12-Sep,L,,San Francisco 49ers,33,41
Detroit Lions,20-Sep,L,@,Green Bay Packers,17,35
Detroit Lions,26-Sep,L,,Baltimore Ravens,17,19
Detroit Lions,3-Oct,L,@,Chicago Bears,14,24
Detroit Lions,10-Oct,L,@,Minnesota Vikings,17,19
Detroit Lions,17-Oct,L,,Cincinnati Bengals,11,34
Detroit Lions,24-Oct,L,@,Los Angeles Rams,19,28
Detroit Lions,31-Oct,L,,Philadelphia Eagles,6,44
Detroit Lions,14-Nov,T,@,Pittsburgh Steelers,16,16
Detroit Lions,21-Nov,L,@,Cleveland Browns,10,13
Detroit Lions,25-Nov,L,,Chicago Bears,14,16
Detroit Lions,5-Dec,W,,Minnesota Vikings,29,27
Detroit Lions,12-Dec,L,@,Denver Broncos,10,38
Detroit Lions,19-Dec,W,,Arizona Cardinals,30,12
Detroit Lions,26-Dec,L,@,Atlanta Falcons,16,20
Detroit Lions,2-Jan,L,@,Seattle Seahawks,29,51
